Fold,Val BA,Test BA,Test Macro F1,Test Weighted F1,Accuracy,PL Recall,PFM Recall,Flaky Recall,Best Epoch,Notes
fold_00,0.71980056980057,0.75,0.7061861861861862,0.7659459459459459,0.7638888888888888,0.9166666666666666,0.5555555555555556,0.7777777777777778,6,
fold_01,0.7756410256410255,0.7588319088319088,0.724872158980686,0.769957295797089,0.7638888888888888,0.8611111111111112,0.6153846153846154,0.8,6,
fold_02,0.7129629629629629,0.6467236467236468,0.5846560846560847,0.6321260898725687,0.6338028169014085,0.7777777777777778,0.3846153846153846,0.7777777777777778,6,
fold_03,0.6666666666666666,0.8596866096866096,0.7793968832220198,0.8120611953445018,0.8028169014084507,0.6944444444444444,0.8846153846153846,1.0,6,
fold_04,0.7008547008547009,0.7293447293447293,0.6572104018912529,0.7069823194486066,0.6901408450704225,0.7222222222222222,0.5769230769230769,0.8888888888888888,5,
fold_05,0.7307692307692307,0.7421652421652422,0.6996891996891996,0.7571161233133064,0.7464788732394366,0.8333333333333334,0.6153846153846154,0.7777777777777778,5,
fold_06,0.7357549857549857,0.6766381766381766,0.6509589779890114,0.7153445498555089,0.704225352112676,0.6666666666666666,0.8076923076923077,0.5555555555555556,4,
fold_07,0.6853615520282187,0.5370370370370371,0.49962498660666443,0.5614290047582182,0.5352112676056338,0.5555555555555556,0.5,0.5555555555555556,3,
fold_08,0.7414462081128748,0.6920634920634919,0.6120117077563886,0.6644524356541138,0.647887323943662,0.7428571428571429,0.4444444444444444,0.8888888888888888,5,
fold_09,0.7191358024691358,0.7167548500881834,0.6403805020826298,0.6968168348150368,0.676056338028169,0.7428571428571429,0.5185185185185185,0.8888888888888888,5,
